,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
11,宮吉　拓実,Takumi MIYAYOSHI,ラーゴＦＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８－京都サンガF.C.－カターレ富山－京都サンガF.C.－サンフレッチェ広島－北海道コンサドーレ札幌,1992/08/07,京都サンガF.C.
12,中川　寛斗,Hiroto NAKAGAWA,ジップＳＣ－大東少年団－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－湘南ベルマーレ－柏レイソル－湘南ベルマーレ－柏レイソル－湘南ベルマーレ－柏レイソル－湘南ベルマーレ,1994/11/03,京都サンガF.C.
13,長井　一真,Kazuma NAGAI,大阪セントラルＦＣ－大阪セントラルＦＣＪｒユース－興国高－関西大,1998/11/02,京都サンガF.C.
14,武田　将平,Shohei TAKEDA,リトルジャンボＳ．Ｃ－伊勢原中－流通経済大付属柏高－神奈川大－ファジアーノ岡山－ヴァンフォーレ甲府－ファジアーノ岡山,1994/04/04,京都サンガF.C.
15,荻原　拓也,Takuya OGIWARA,1FC川越水上公園－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－アルビレックス新潟－浦和レッズ,1999/11/23,京都サンガF.C.
16,野田　隆之介,Ryunosuke NODA,たのしかＦＣ－金武中－福岡舞鶴高－日本経済大－サガン鳥栖－名古屋グランパス－湘南ベルマーレ,1988/09/28,京都サンガF.C.
17,麻田　将吾,Shogo ASADA,アルフット安曇野ジュニア－アルフット安曇野Ｊｒユース－京都サンガF.C.Ｕ－１８－京都サンガF.C.－カマタマーレ讃岐－京都サンガF.C.－カマタマーレ讃岐,1998/07/06,京都サンガF.C.
18,李　忠成,Tadanari LEE,こみねＦＣ－横河ＦＣＪｒユース－ＦＣ東京Ｕ－１８－ＦＣ東京－柏レイソル－サンフレッチェ広島－サウサンプトンＦＣ／イングランド－ＦＣ東京－サウサンプトンＦＣ／イングランド－浦和レッズ－横浜Ｆ・マリノス,1985/12/19,京都サンガF.C.
19,清水　圭介,Keisuke SHIMIZU,神野ＳＣ－滝川二高－大分トリニータ－ニューウェーブ北九州－大分トリニータ－アビスパ福岡－大分トリニータ,1988/11/25,京都サンガF.C.
20,谷内田　哲平,Teppei YACHIDA,長岡ＪｒユースＦＣ－帝京長岡高,2001/11/01,京都サンガF.C.
21,ヨルディ　バイス,JORDY BUIJS,フェイエノールト／オランダ－デ　フラーフスハップ／オランダ－デ　フラーフスハップ／オランダ－ＮＡＣブレダ／オランダ－ＳＣヘーレンフェーン／オランダ－ローダＪＣ／オランダ－ＣＳパンドゥリイ　トゥル／ルーマニア－シドニーＦＣ／オーストラリア－Ｖ・ファーレン長崎－徳島ヴォルティス－Ｖ・ファーレン長崎,1988/12/28,京都サンガF.C.
22,川﨑　颯太,Sota KAWASAKI,フォルトゥナＳＣ－ヴァンフォーレ甲府Ｕ－１２－ヴァンフォーレ甲府Ｕ－１５－京都サンガF.C.Ｕ－１８,2001/07/30,京都サンガF.C.
23,中野　桂太,Keita NAKANO,ＦＣ草津－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８,2002/08/27,京都サンガF.C.
24,太田　岳志,Gakuji OTA,大山田ＳＳＳ－陵成中－暁高－大阪学院大－ＦＣ岐阜－東京ヴェルディ－カターレ富山－東京ヴェルディ－カターレ富山,1990/12/26,京都サンガF.C.
25,山田　楓喜,Fuki YAMADA,土山スポーツ少年団－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８,2001/07/10,京都サンガF.C.
26,冨田　康平,Kohei TOMITA,山口サントスＳＣ－所沢ＪｒユースＳＣ－市立浦和高－早稲田大,1996/06/09,京都サンガF.C.
27,中野　克哉,Katsuya NAKANO,鳥見サッカー少年団－ＹＦ奈良テソロ－京都橘高－関西学院大,1996/09/13,京都サンガF.C.
28,福岡　慎平,Shimpei FUKUOKA,アスペガス生駒ＦＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８,2000/06/27,京都サンガF.C.
29,上月　壮一郎,Soichiro KOZUKI,宇治翔ＦＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８,2000/12/22,京都サンガF.C.
30,三沢　直人,Naoto MISAWA,千代田ＦＣ－カムイＪｒユース－西武台高－専修大－Ｙ．Ｓ．Ｃ．Ｃ．横浜－ガイナーレ鳥取,1995/07/07,京都サンガF.C.
31,若原　智哉,Tomoya WAKAHARA,矢倉ＦＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８,1999/12/28,京都サンガF.C.
32,白井　康介,Kosuke SHIRAI,ＦＣ豊橋リトルＪセレソン－ＦＣ豊橋デューミラン－大阪桐蔭高－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ－愛媛ＦＣ－湘南ベルマーレ－愛媛ＦＣ－北海道コンサドーレ札幌,1994/05/01,京都サンガF.C.
33,森脇　良太,Ryota MORIWAKI,幕山サッカー教室－サンフレッチェびんごＪｒユースＦＣ－サンフレッチェ広島ユース－サンフレッチェ広島－愛媛ＦＣ－サンフレッチェ広島－愛媛ＦＣ－サンフレッチェ広島－浦和レッズ,1986/04/06,京都サンガF.C.
0,椎名　一馬,Kazuma SHIINA,流通経済大付属柏高－流通経済大－ファジアーノ岡山－ファジアーノ岡山ネクスト－ファジアーノ岡山－ファジアーノ岡山ネクスト－ファジアーノ岡山－ファジアーノ岡山ネクスト,1986/08/26,ファジアーノ岡山
1,廣木　雄磨,Yuma HIROKI,アンティウスＦＣ－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８－東京学芸大－レノファ山口ＦＣ,1992/07/23,ファジアーノ岡山
2,濱田　水輝,Mizuki HAMADA,サンタクラララッカス／アメリカ合衆国－浦和レッズユース－浦和レッズ－アルビレックス新潟－浦和レッズ－アビスパ福岡,1990/05/18,ファジアーノ岡山
3,井上　黎生人,Rikito INOUE,ＲＥＳＴＡ　ＦＣ－鹿児島実業高－ガイナーレ鳥取,1997/03/09,ファジアーノ岡山
4,喜山　康平,Kohei KIYAMA,南百合丘ＳＣ－真福寺ＦＣ－読売日本ＳＣジュニア－ヴェルディＪｒユース－ヴェルディユース－東京ヴェルディ１９６９－ファジアーノ岡山－東京ヴェルディ－ファジアーノ岡山－東京ヴェルディ－ファジアーノ岡山－東京ヴェルディ－ファジアーノ岡山－東京ヴェルディ－ファジアーノ岡山－カマタマーレ讃岐－ファジアーノ岡山－松本山雅ＦＣ－ファジアーノ岡山－松本山雅ＦＣ,1988/02/22,ファジアーノ岡山
5,白井　永地,Eiji SHIRAI,実籾マリンスターズ－柏レイソルＵ－１５－柏レイソルＵ－１８－水戸ホーリーホック,1995/09/26,ファジアーノ岡山
6,田中　裕介,Yusuke TANAKA,シルクロードＳＣ－町田ＪＦＣ－桐光学園高－横浜Ｆ・マリノス－川崎フロンターレ－ウェスタンシドニーワ／オーストラリア－セレッソ大阪,1986/04/14,ファジアーノ岡山
7,イ　ヨンジェ,LEE Yong Jae,浦項高／大韓民国－ワトフォード／イングランド－ＦＣナント／フランス－レッドスター９３／フランス－Ｖ・ファーレン長崎－京都サンガF.C.,1991/06/08,ファジアーノ岡山
8,宮崎　幾笑,Kiwara MIYAZAKI,ザスパ草津Ｕ－１５－アルビレックス新潟Ｕ－１８－アルビレックス新潟－ツエーゲン金沢－アルビレックス新潟－ツエーゲン金沢－アルビレックス新潟－ＦＣ東京,1998/02/17,ファジアーノ岡山
9,宮崎　智彦,Tomohiko MIYAZAKI,田無ＳＣ－横河ＦＣＪｒユース－ＦＣ東京Ｕ－１８－流通経済大－鹿島アントラーズ－横浜ＦＣ－鹿島アントラーズ－ジュビロ磐田－鹿島アントラーズ－ジュビロ磐田,1986/11/21,ファジアーノ岡山
10,金山　隼樹,Junki KANAYAMA,平田中－サンフレッチェ広島ユース－立命館大－Ｖ・ファーレン長崎－北海道コンサドーレ札幌,1988/06/12,ファジアーノ岡山
11,上門　知樹,Satoki UEJO,与勝中－与勝高－ＦＣ琉球,1997/04/27,ファジアーノ岡山
12,山本　大貴,Hiroki YAMAMOTO,ランザ熊本－宇土鶴城中－ルーテル学院高－駒沢大－ベガルタ仙台－松本山雅ＦＣ－ベガルタ仙台－松本山雅ＦＣ－ファジアーノ岡山－松本山雅ＦＣ,1991/11/15,ファジアーノ岡山
13,河野　諒祐,Ryosuke KAWANO,湘南ベルマーレＪｒユース－湘南ベルマーレユース－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ－ヴェルスパ大分－Ｙ．Ｓ．Ｃ．Ｃ．横浜－水戸ホーリーホック,1994/12/24,ファジアーノ岡山
14,関戸　健二,Kenji SEKIDO,ヴェルディＳＳ相模原－旭高－流通経済大,1990/01/07,ファジアーノ岡山
15,齊藤　和樹,Kazuki SAITO,清水ＦＣＪｒユース－清水商高－中京大－ロアッソ熊本－ジュビロ磐田,1988/11/21,ファジアーノ岡山
16,川本　梨誉,Riyo KAWAMOTO,中田サッカースポーツ少年団－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス,2001/06/11,ファジアーノ岡山
17,馬渡　洋樹,Hiroki MAWATARI,福翔トナカイＦＣ　Ｕ－１５－東福岡高－鹿屋体育大－愛媛ＦＣ－川崎フロンターレ－愛媛ＦＣ－川崎フロンターレ,1994/08/16,ファジアーノ岡山
18,松木　駿之介,Shunnosuke MATSUKI,あざみ野ＦＣ－横浜ＦＣＪｒユース－青森山田中－青森山田高－慶応大,1996/10/24,ファジアーノ岡山
19,下口　稚葉,Wakaba SHIMOGUCHI,福井市中央ＦＣ－ＪＦＡアカデミー福島－ファジアーノ岡山－ＡＣ長野パルセイロ,1998/05/02,ファジアーノ岡山
20,野口　竜彦,Tatsuhiko NOGUCHI,高槻ＦＣ－高槻ＦＣＪｒユース－前橋育英高－中央大,1997/11/20,ファジアーノ岡山
21,パウリーニョ,Paulo Roberto Gonzaga(PAULINHO),メトロポリターノ／ブラジル－グレミオ／ブラジル－メトロポリターノ／ブラジル－バスコ　ダ　ガマ／ブラジル－メトロポリターノ／ブラジル－栃木ＳＣ－川崎フロンターレ－栃木ＳＣ－ジェフユナイテッド千葉－湘南ベルマーレ－ジェフユナイテッド千葉－松本山雅ＦＣ－ジェフユナイテッド千葉－松本山雅ＦＣ,1989/01/26,ファジアーノ岡山
22,木村　太哉,Takaya KIMURA,フレンドリーＳＣ－アンフィニＭＡＫＩ．ＦＣ　Ｕ－１２－アンフィニＭＡＫＩ．ＦＣ　Ｕ－１５－札幌大谷高－甲南大,1998/07/08,ファジアーノ岡山
23,疋田　優人,Yuto HIKIDA,ＦＣ中洋－メーヴェＦＣ－広島皆実高－大阪体育大,1998/04/07,ファジアーノ岡山
24,ユ　ヨンヒョン,YOU Yong Hyeon,城南渼金初等学校／大韓民国－豊生中／大韓民国－ＳＯＬ　ＦＣ／大韓民国,2000/02/27,ファジアーノ岡山
25,梅田　透吾,Togo UMEDA,長泉アミーゴス－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス,2000/07/23,ファジアーノ岡山
26,福元　友哉,Tomoya FUKUMOTO,東京ヴェルディジュニア－横浜Ｆ・マリノスＪｒユース－市立船橋高,1999/07/17,ファジアーノ岡山
27,阿部　海大,Kaito ABE,きつきＦＣ－スマイスセレソンＦＣ－東福岡高,1999/09/18,ファジアーノ岡山
28,山田　恭也,Kyoya YAMADA,ピナクル倉敷ＦＣ－ファジアーノ岡山Ｕ－１５－ファジアーノ岡山Ｕ－１８,2001/07/29,ファジアーノ岡山
29,増谷　幸祐,Kosuke MASUTANI,サンフレッチェびんごＪｒユース－愛媛ＦＣユース－日本体育大－ＦＣ琉球－ファジアーノ岡山－ＦＣ琉球,1993/07/01,ファジアーノ岡山
30,徳元　悠平,Shuhei TOKUMOTO,三和中－那覇西高－城西国際大－ＦＣ琉球,1995/09/12,ファジアーノ岡山
0,菊地　光将,Kosuke KIKUCHI,越谷ＦＣＪｒユース－浦和東高－駒澤大－川崎フロンターレ－大宮アルディージャ,1985/12/16,レノファ山口ＦＣ
1,ヘナン,RENAN Dos Santos Paixao,レッドブル　ブラジル／ブラジル－パルメイラス／ブラジル－モンテ　アズール／ブラジル－フォス　ド　イグアス／ブラジル,1996/07/28,レノファ山口ＦＣ
2,佐藤　健太郎,Kentaro SATO,名張西高－順天堂大－モンテディオ山形－ジェフユナイテッド千葉－京都サンガF.C.,1984/08/14,レノファ山口ＦＣ
3,渡部　博文,Hirofumi WATANABE,長井サッカースポーツ少年団－長井南中－山形中央高－専修大－柏レイソル－栃木ＳＣ－柏レイソル－ベガルタ仙台－ヴィッセル神戸,1987/07/07,レノファ山口ＦＣ
4,高木　大輔,Daisuke TAKAGI,あざみ野Ｆ．Ｃ．－東京ヴェルディ１９６９ジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－レノファ山口ＦＣ－東京ヴェルディ－レノファ山口ＦＣ－ガンバ大阪,1995/10/14,レノファ山口ＦＣ
5,佐藤　謙介,Kensuke SATO,若久スポーツ少年団－木崎サッカースポーツ少年団－浦和レッズＪｒユース－浦和レッズユース－中央大－横浜ＦＣ,1989/01/19,レノファ山口ＦＣ
6,岸田　和人,Kazuhito KISHIDA,大分トリニータＵ－１５－大分トリニータＵ－１８－福岡大－ＦＣ町田ゼルビア－レノファ山口ＦＣ－ＦＣ町田ゼルビア－レノファ山口ＦＣ－いわてグルージャ盛岡,1990/04/03,レノファ山口ＦＣ
7,池上　丈二,Joji IKEGAMI,バレイアＳＣ　Ｕ－１２－バレイアＳＣ　Ｕ－１５－青森山田高－大阪体育大,1994/11/06,レノファ山口ＦＣ
8,島屋　八徳,Yatsunori SHIMAYA,浅川ＳＣ－折尾愛真中－折尾愛真高－宮崎産業経営大－ＨＯＹＯ大分－レノファ山口ＦＣ－徳島ヴォルティス－サガン鳥栖－徳島ヴォルティス－サガン鳥栖－徳島ヴォルティス,1989/01/20,レノファ山口ＦＣ
9,楠本　卓海,Takumi KUSUMOTO,田柄二ＳＣ－ペラーダ－大成高－東京国際大,1995/12/10,レノファ山口ＦＣ
10,澤井　直人,Naoto SAWAI,戸塚ＦＣジュニア－東京ヴェルディ１９６９ジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－アジャクシオ／フランス－東京ヴェルディ,1995/04/03,レノファ山口ＦＣ
11,川井　歩,Ayumu KAWAI,愛宕サッカースポーツ少年団－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－レノファ山口ＦＣ－サンフレッチェ広島,1999/08/12,レノファ山口ＦＣ
12,浮田　健誠,Kensei UKITA,ミナトＳＣ－柏レイソルＵ－１８－順天堂大,1997/06/12,レノファ山口ＦＣ
13,吉満　大介,Daisuke YOSHIMITSU,飛松ＦＣ－アミーゴス鹿児島Ｕ－１５－神村学園高－鹿屋体育大－栃木ＳＣ,1993/02/21,レノファ山口ＦＣ
14,小松　蓮,Ren KOMATSU,諏訪ＦＣ－松本山雅ＦＣ　Ｕ－１５－松本山雅ＦＣ　Ｕ－１８－産業能率大－松本山雅ＦＣ－ツエーゲン金沢－松本山雅ＦＣ－レノファ山口ＦＣ－松本山雅ＦＣ,1998/09/10,レノファ山口ＦＣ
15,森　晃太,Kota MORI,名古屋グランパスＵ１２－名古屋グランパスＵ１５－名古屋グランパスＵ１８－ヴァンフォーレ甲府,1997/06/13,レノファ山口ＦＣ
16,関　憲太郎,Kentaro SEKI,神流小－北中－前橋育英高－国見高－明治大－ベガルタ仙台－横浜ＦＣ－ベガルタ仙台－横浜ＦＣ－ベガルタ仙台－横浜ＦＣ－ベガルタ仙台,1986/03/09,レノファ山口ＦＣ
17,起　海斗,Kaito OKI,大阪住吉ＦＣ－アイリスＦＣ住吉－大阪市ジュネッスＦＣ－興国高,2000/11/14,レノファ山口ＦＣ
18,梅木　翼,Tsubasa UMEKI,出雲南ＦＣ－サンフレッチェくにびきＦＣ－立正大学湘南高－福岡大,1998/11/24,レノファ山口ＦＣ
19,神垣　陸,Riku KAMIGAKI,図南ＳＣ前橋－前橋ＦＣ－尚志高－桐蔭横浜大,1998/07/14,レノファ山口ＦＣ
20,高橋　秀典,Hidenori TAKAHASHI,バディーＳＣ千葉－ウィングスＵ－１５－青森山田高－大阪体育大,1998/07/18,レノファ山口ＦＣ
21,眞鍋　旭輝,Hikaru MANABE,アッズリーノ熊本－ブレイズ熊本ジュニア－ブレイズ熊本Ｕ－１５－大津高－桐蔭横浜大,1997/10/17,レノファ山口ＦＣ
