,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
1156,川﨑　颯太,Sota KAWASAKI,2001/07/30,京都サンガF.C.,京都サンガF.C.Ｕ-１８,ヴァンフォーレ甲府Ｕ-１５,ヴァンフォーレ甲府Ｕ-１２,フォルトゥナＳＣ,,,,,,,,,,,,,,,,,
1157,中野　桂太,Keita NAKANO,2002/08/27,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,ＦＣ草津,,,,,,,,,,,,,,,,,,
1158,太田　岳志,Gakuji OTA,1990/12/26,京都サンガF.C.,カターレ富山,東京ヴェルディ,カターレ富山,東京ヴェルディ,ＦＣ岐阜,大阪学院大,暁高,陵成中,大山田ＳＳＳ,,,,,,,,,,,,
1159,山田　楓喜,Fuki YAMADA,2001/07/10,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,土山スポーツ少年団,,,,,,,,,,,,,,,,,,
1160,冨田　康平,Kohei TOMITA,1996/06/09,京都サンガF.C.,早稲田大,市立浦和高,所沢ＪｒユースＳＣ,山口サントスＳＣ,,,,,,,,,,,,,,,,,
1161,中野　克哉,Katsuya NAKANO,1996/09/13,京都サンガF.C.,関西学院大,京都橘高,ＹＦ奈良テソロ,鳥見サッカー少年団,,,,,,,,,,,,,,,,,
1162,福岡　慎平,Shimpei FUKUOKA,2000/06/27,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,アスペガス生駒ＦＣ,,,,,,,,,,,,,,,,,,
1163,上月　壮一郎,Soichiro KOZUKI,2000/12/22,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,宇治翔ＦＣ,,,,,,,,,,,,,,,,,,
1164,三沢　直人,Naoto MISAWA,1995/07/07,京都サンガF.C.,ガイナーレ鳥取,Ｙ．Ｓ．Ｃ．Ｃ．横浜,専修大,西武台高,カムイＪｒユース,千代田ＦＣ,,,,,,,,,,,,,,,
1165,若原　智哉,Tomoya WAKAHARA,1999/12/28,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,矢倉ＦＣ,,,,,,,,,,,,,,,,,,
1166,白井　康介,Kosuke SHIRAI,1994/05/01,京都サンガF.C.,北海道コンサドーレ札幌,愛媛ＦＣ,湘南ベルマーレ,愛媛ＦＣ,湘南ベルマーレ,福島ユナイテッドＦＣ,湘南ベルマーレ,大阪桐蔭高,ＦＣ豊橋デューミラン,ＦＣ豊橋リトルＪセレソン,,,,,,,,,,,
1167,森脇　良太,Ryota MORIWAKI,1986/04/06,京都サンガF.C.,浦和レッズ,サンフレッチェ広島,愛媛ＦＣ,サンフレッチェ広島,愛媛ＦＣ,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェびんごＪｒユースＦＣ,幕山サッカー教室,,,,,,,,,,,,
1168,椎名　一馬,Kazuma SHIINA,1986/08/26,ファジアーノ岡山,ファジアーノ岡山ネクスト,ファジアーノ岡山,ファジアーノ岡山ネクスト,ファジアーノ岡山,ファジアーノ岡山ネクスト,ファジアーノ岡山,流通経済大,流通経済大付属柏高,,,,,,,,,,,,,
1169,廣木　雄磨,Yuma HIROKI,1992/07/23,ファジアーノ岡山,レノファ山口ＦＣ,東京学芸大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,アンティウスＦＣ,,,,,,,,,,,,,,,,
1170,濱田　水輝,Mizuki HAMADA,1990/05/18,ファジアーノ岡山,アビスパ福岡,浦和レッズ,アルビレックス新潟,浦和レッズ,浦和レッズユース,サンタクラララッカス／アメリカ合衆国,,,,,,,,,,,,,,,
1171,井上　黎生人,Rikito INOUE,1997/03/09,ファジアーノ岡山,ガイナーレ鳥取,鹿児島実業高,ＲＥＳＴＡ　ＦＣ,,,,,,,,,,,,,,,,,,
1172,喜山　康平,Kohei KIYAMA,1988/02/22,ファジアーノ岡山,松本山雅ＦＣ,ファジアーノ岡山,松本山雅ＦＣ,ファジアーノ岡山,カマタマーレ讃岐,ファジアーノ岡山,東京ヴェルディ,ファジアーノ岡山,東京ヴェルディ,ファジアーノ岡山,東京ヴェルディ,ファジアーノ岡山,東京ヴェルディ,ファジアーノ岡山,東京ヴェルディ１９６９,ヴェルディユース,ヴェルディＪｒユース,読売日本ＳＣジュニア,真福寺ＦＣ,南百合丘ＳＣ,
1173,白井　永地,Eiji SHIRAI,1995/09/26,ファジアーノ岡山,水戸ホーリーホック,柏レイソルＵ-１８,柏レイソルＵ-１５,実籾マリンスターズ,,,,,,,,,,,,,,,,,
1174,田中　裕介,Yusuke TANAKA,1986/04/14,ファジアーノ岡山,セレッソ大阪,ウェスタンシドニーワ／オーストラリア,川崎フロンターレ,横浜Ｆ・マリノス,桐光学園高,町田ＪＦＣ,シルクロードＳＣ,,,,,,,,,,,,,,
1175,イ　ヨンジェ,LEE Yong Jae,1991/06/08,ファジアーノ岡山,京都サンガF.C.,Ｖ・ファーレン長崎,レッドスター９３／フランス,ＦＣナント／フランス,ワトフォード／イングランド,浦項高／大韓民国,,,,,,,,,,,,,,,
1176,宮崎　幾笑,Kiwara MIYAZAKI,1998/02/17,ファジアーノ岡山,ＦＣ東京,アルビレックス新潟,ツエーゲン金沢,アルビレックス新潟,ツエーゲン金沢,アルビレックス新潟,アルビレックス新潟Ｕ-１８,ザスパ草津Ｕ-１５,,,,,,,,,,,,,
1177,宮崎　智彦,Tomohiko MIYAZAKI,1986/11/21,ファジアーノ岡山,ジュビロ磐田,鹿島アントラーズ,ジュビロ磐田,鹿島アントラーズ,横浜ＦＣ,鹿島アントラーズ,流通経済大,ＦＣ東京Ｕ-１８,横河ＦＣＪｒユース,田無ＳＣ,,,,,,,,,,,
1178,金山　隼樹,Junki KANAYAMA,1988/06/12,ファジアーノ岡山,北海道コンサドーレ札幌,Ｖ・ファーレン長崎,立命館大,サンフレッチェ広島ユース,平田中,,,,,,,,,,,,,,,,
1179,上門　知樹,Satoki UEJO,1997/04/27,ファジアーノ岡山,ＦＣ琉球,与勝高,与勝中,,,,,,,,,,,,,,,,,,
1180,山本　大貴,Hiroki YAMAMOTO,1991/11/15,ファジアーノ岡山,松本山雅ＦＣ,ファジアーノ岡山,松本山雅ＦＣ,ベガルタ仙台,松本山雅ＦＣ,ベガルタ仙台,駒沢大,ルーテル学院高,宇土鶴城中,ランザ熊本,,,,,,,,,,,
1181,河野　諒祐,Ryosuke KAWANO,1994/12/24,ファジアーノ岡山,水戸ホーリーホック,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ヴェルスパ大分,湘南ベルマーレ,福島ユナイテッドＦＣ,湘南ベルマーレ,湘南ベルマーレユース,湘南ベルマーレＪｒユース,,,,,,,,,,,,,
1182,関戸　健二,Kenji SEKIDO,1990/01/07,ファジアーノ岡山,流通経済大,旭高,ヴェルディＳＳ相模原,,,,,,,,,,,,,,,,,,
1183,齊藤　和樹,Kazuki SAITO,1988/11/21,ファジアーノ岡山,ジュビロ磐田,ロアッソ熊本,中京大,清水商高,清水ＦＣＪｒユース,,,,,,,,,,,,,,,,
1184,川本　梨誉,Riyo KAWAMOTO,2001/06/11,ファジアーノ岡山,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,中田サッカースポーツ少年団,,,,,,,,,,,,,,,,,
1185,馬渡　洋樹,Hiroki MAWATARI,1994/08/16,ファジアーノ岡山,川崎フロンターレ,愛媛ＦＣ,川崎フロンターレ,愛媛ＦＣ,鹿屋体育大,東福岡高,福翔トナカイＦＣ　Ｕ-１５,,,,,,,,,,,,,,
1186,松木　駿之介,Shunnosuke MATSUKI,1996/10/24,ファジアーノ岡山,慶応大,青森山田高,青森山田中,横浜ＦＣＪｒユース,あざみ野ＦＣ,,,,,,,,,,,,,,,,
1187,下口　稚葉,Wakaba SHIMOGUCHI,1998/05/02,ファジアーノ岡山,ＡＣ長野パルセイロ,ファジアーノ岡山,ＪＦＡアカデミー福島,福井市中央ＦＣ,,,,,,,,,,,,,,,,,
1188,野口　竜彦,Tatsuhiko NOGUCHI,1997/11/20,ファジアーノ岡山,中央大,前橋育英高,高槻ＦＣＪｒユース,高槻ＦＣ,,,,,,,,,,,,,,,,,
1189,パウリーニョ,Paulo Roberto Gonzaga(PAULINHO),1989/01/26,ファジアーノ岡山,松本山雅ＦＣ,ジェフユナイテッド千葉,松本山雅ＦＣ,ジェフユナイテッド千葉,湘南ベルマーレ,ジェフユナイテッド千葉,栃木ＳＣ,川崎フロンターレ,栃木ＳＣ,メトロポリターノ／ブラジル,バスコ　ダ　ガマ／ブラジル,メトロポリターノ／ブラジル,グレミオ／ブラジル,メトロポリターノ／ブラジル,,,,,,,
1190,木村　太哉,Takaya KIMURA,1998/07/08,ファジアーノ岡山,甲南大,札幌大谷高,アンフィニＭＡＫＩ．ＦＣ　Ｕ-１５,アンフィニＭＡＫＩ．ＦＣ　Ｕ-１２,フレンドリーＳＣ,,,,,,,,,,,,,,,,
1191,疋田　優人,Yuto HIKIDA,1998/04/07,ファジアーノ岡山,大阪体育大,広島皆実高,メーヴェＦＣ,ＦＣ中洋,,,,,,,,,,,,,,,,,
1192,ユ　ヨンヒョン,YOU Yong Hyeon,2000/02/27,ファジアーノ岡山,ＳＯＬ　ＦＣ／大韓民国,豊生中／大韓民国,城南渼金初等学校／大韓民国,,,,,,,,,,,,,,,,,,
1193,梅田　透吾,Togo UMEDA,2000/07/23,ファジアーノ岡山,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,長泉アミーゴス,,,,,,,,,,,,,,,,,
1194,福元　友哉,Tomoya FUKUMOTO,1999/07/17,ファジアーノ岡山,市立船橋高,横浜Ｆ・マリノスＪｒユース,東京ヴェルディジュニア,,,,,,,,,,,,,,,,,,
1195,阿部　海大,Kaito ABE,1999/09/18,ファジアーノ岡山,東福岡高,スマイスセレソンＦＣ,きつきＦＣ,,,,,,,,,,,,,,,,,,
1196,山田　恭也,Kyoya YAMADA,2001/07/29,ファジアーノ岡山,ファジアーノ岡山Ｕ-１８,ファジアーノ岡山Ｕ-１５,ピナクル倉敷ＦＣ,,,,,,,,,,,,,,,,,,
1197,増谷　幸祐,Kosuke MASUTANI,1993/07/01,ファジアーノ岡山,ＦＣ琉球,ファジアーノ岡山,ＦＣ琉球,日本体育大,愛媛ＦＣユース,サンフレッチェびんごＪｒユース,,,,,,,,,,,,,,,
1198,徳元　悠平,Shuhei TOKUMOTO,1995/09/12,ファジアーノ岡山,ＦＣ琉球,城西国際大,那覇西高,三和中,,,,,,,,,,,,,,,,,
1199,菊地　光将,Kosuke KIKUCHI,1985/12/16,レノファ山口ＦＣ,大宮アルディージャ,川崎フロンターレ,駒澤大,浦和東高,越谷ＦＣＪｒユース,,,,,,,,,,,,,,,,
1200,ヘナン,RENAN Dos Santos Paixao,1996/07/28,レノファ山口ＦＣ,フォス　ド　イグアス／ブラジル,モンテ　アズール／ブラジル,パルメイラス／ブラジル,レッドブル　ブラジル／ブラジル,,,,,,,,,,,,,,,,,
1201,佐藤　健太郎,Kentaro SATO,1984/08/14,レノファ山口ＦＣ,京都サンガF.C.,ジェフユナイテッド千葉,モンテディオ山形,順天堂大,名張西高,,,,,,,,,,,,,,,,
1202,渡部　博文,Hirofumi WATANABE,1987/07/07,レノファ山口ＦＣ,ヴィッセル神戸,ベガルタ仙台,柏レイソル,栃木ＳＣ,柏レイソル,専修大,山形中央高,長井南中,長井サッカースポーツ少年団,,,,,,,,,,,,
1203,高木　大輔,Daisuke TAKAGI,1995/10/14,レノファ山口ＦＣ,ガンバ大阪,レノファ山口ＦＣ,東京ヴェルディ,レノファ山口ＦＣ,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディ１９６９ジュニア,あざみ野Ｆ．Ｃ．,,,,,,,,,,,,
1204,佐藤　謙介,Kensuke SATO,1989/01/19,レノファ山口ＦＣ,横浜ＦＣ,中央大,浦和レッズユース,浦和レッズＪｒユース,木崎サッカースポーツ少年団,若久スポーツ少年団,,,,,,,,,,,,,,,
1205,岸田　和人,Kazuhito KISHIDA,1990/04/03,レノファ山口ＦＣ,いわてグルージャ盛岡,レノファ山口ＦＣ,ＦＣ町田ゼルビア,レノファ山口ＦＣ,ＦＣ町田ゼルビア,福岡大,大分トリニータＵ-１８,大分トリニータＵ-１５,,,,,,,,,,,,,
1206,池上　丈二,Joji IKEGAMI,1994/11/06,レノファ山口ＦＣ,大阪体育大,青森山田高,バレイアＳＣ　Ｕ-１５,バレイアＳＣ　Ｕ-１２,,,,,,,,,,,,,,,,,
1207,島屋　八徳,Yatsunori SHIMAYA,1989/01/20,レノファ山口ＦＣ,徳島ヴォルティス,サガン鳥栖,徳島ヴォルティス,サガン鳥栖,徳島ヴォルティス,レノファ山口ＦＣ,ＨＯＹＯ大分,宮崎産業経営大,折尾愛真高,折尾愛真中,浅川ＳＣ,,,,,,,,,,
1208,楠本　卓海,Takumi KUSUMOTO,1995/12/10,レノファ山口ＦＣ,東京国際大,大成高,ペラーダ,田柄二ＳＣ,,,,,,,,,,,,,,,,,
1209,澤井　直人,Naoto SAWAI,1995/04/03,レノファ山口ＦＣ,東京ヴェルディ,アジャクシオ／フランス,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディ１９６９ジュニア,戸塚ＦＣジュニア,,,,,,,,,,,,,,
1210,川井　歩,Ayumu KAWAI,1999/08/12,レノファ山口ＦＣ,サンフレッチェ広島,レノファ山口ＦＣ,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,愛宕サッカースポーツ少年団,,,,,,,,,,,,,,,
1211,浮田　健誠,Kensei UKITA,1997/06/12,レノファ山口ＦＣ,順天堂大,柏レイソルＵ-１８,ミナトＳＣ,,,,,,,,,,,,,,,,,,
1212,吉満　大介,Daisuke YOSHIMITSU,1993/02/21,レノファ山口ＦＣ,栃木ＳＣ,鹿屋体育大,神村学園高,アミーゴス鹿児島Ｕ-１５,飛松ＦＣ,,,,,,,,,,,,,,,,
1213,小松　蓮,Ren KOMATSU,1998/09/10,レノファ山口ＦＣ,松本山雅ＦＣ,レノファ山口ＦＣ,松本山雅ＦＣ,ツエーゲン金沢,松本山雅ＦＣ,産業能率大,松本山雅ＦＣ　Ｕ-１８,松本山雅ＦＣ　Ｕ-１５,諏訪ＦＣ,,,,,,,,,,,,
1214,森　晃太,Kota MORI,1997/06/13,レノファ山口ＦＣ,ヴァンフォーレ甲府,名古屋グランパスＵ１８,名古屋グランパスＵ１５,名古屋グランパスＵ１２,,,,,,,,,,,,,,,,,
1215,関　憲太郎,Kentaro SEKI,1986/03/09,レノファ山口ＦＣ,ベガルタ仙台,横浜ＦＣ,ベガルタ仙台,横浜ＦＣ,ベガルタ仙台,横浜ＦＣ,ベガルタ仙台,明治大,国見高,前橋育英高,北中,神流小,,,,,,,,,
1216,起　海斗,Kaito OKI,2000/11/14,レノファ山口ＦＣ,興国高,大阪市ジュネッスＦＣ,アイリスＦＣ住吉,大阪住吉ＦＣ,,,,,,,,,,,,,,,,,
1217,梅木　翼,Tsubasa UMEKI,1998/11/24,レノファ山口ＦＣ,福岡大,立正大学湘南高,サンフレッチェくにびきＦＣ,出雲南ＦＣ,,,,,,,,,,,,,,,,,
1218,神垣　陸,Riku KAMIGAKI,1998/07/14,レノファ山口ＦＣ,桐蔭横浜大,尚志高,前橋ＦＣ,図南ＳＣ前橋,,,,,,,,,,,,,,,,,
1219,高橋　秀典,Hidenori TAKAHASHI,1998/07/18,レノファ山口ＦＣ,大阪体育大,青森山田高,ウィングスＵ-１５,バディーＳＣ千葉,,,,,,,,,,,,,,,,,
1220,眞鍋　旭輝,Hikaru MANABE,1997/10/17,レノファ山口ＦＣ,桐蔭横浜大,大津高,ブレイズ熊本Ｕ-１５,ブレイズ熊本ジュニア,アッズリーノ熊本,,,,,,,,,,,,,,,,
1221,田中　陸,Riku TANAKA,1999/05/04,レノファ山口ＦＣ,柏レイソル,レノファ山口ＦＣ,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,白井ＦＣ,,,,,,,,,,,,,,
1222,ヘニキ,HENIK Luiz De Andrade,1989/09/08,レノファ山口ＦＣ,栃木ＳＣ,ＦＣ岐阜,ボタフォゴＦＣ／ブラジル,ＦＣ岐阜,クリシューマ／ブラジル,ＡＢＣ　ＦＣ／ブラジル,ヴィラノヴァ／ブラジル,クリシューマ／ブラジル,,,,,,,,,,,,,
1223,草野　侑己,Yuki KUSANO,1996/07/21,レノファ山口ＦＣ,横浜ＦＣ,阪南大,ＪＦＡアカデミー福島Ｕ-１８,ＪＦＡアカデミー福島Ｕ-１５,プログレッソ十勝Ｕ-１２,柳町サッカー少年団,,,,,,,,,,,,,,,
1224,石井　僚,Ryo ISHII,2000/07/11,レノファ山口ＦＣ,浦和レッズ,浦和レッズユース,上州ＦＣ高崎,高崎北ＳＣ,,,,,,,,,,,,,,,,,
1225,山田　元気,Genki YAMADA,1994/12/16,レノファ山口ＦＣ,京都サンガF.C.,レノファ山口ＦＣ,京都サンガF.C.,レノファ山口ＦＣ,京都サンガF.C.,京都サンガF.C.Ｕ-１８,ＦＣ　Ｘｅｂｅｃ　Ｊｒユース,ＦＣ　Ｘｅｂｅｃ　ジュニア,,,,,,,,,,,,,
1226,寺門　陸,Riku TERAKADO,2002/11/23,レノファ山口ＦＣ,横浜Ｆ・マリノス,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,ＪＦＣ　ＦＵＴＵＲＯ,ＡＣラゾーレ,,,,,,,,,,,,,,,,
1227,河野　孝汰,Kota KAWANO,2003/08/12,レノファ山口ＦＣ,レノファ山口ＦＣ　Ｕ-１８,レノファ山口ＦＣ　Ｕ-１５,レノファ山口ＦＣ　Ｕ-１２,ボアソルテ美都ＦＣ,尾道東ＪＦＣ,,,,,,,,,,,,,,,,
1228,橋本　健人,Kento HASHIMOTO,1999/12/08,レノファ山口ＦＣ,慶応大在学中,横浜ＦＣユース,横浜ＦＣＪｒユース,横浜港北ＳＣ,,,,,,,,,,,,,,,,,
1229,石川　啓人,Hiroto ISHIKAWA,1998/07/16,レノファ山口ＦＣ,サガン鳥栖,ロアッソ熊本,サガン鳥栖,サガン鳥栖Ｕ-１８,サガン鳥栖Ｕ-１５,,,,,,,,,,,,,,,,
1230,高井　和馬,Kazuma TAKAI,1994/08/05,レノファ山口ＦＣ,東京ヴェルディ,ザスパクサツ群馬,日本体育大,千葉ＳＣユース,帝京長岡高,カネヅカＳＣ,,,,,,,,,,,,,,,
1231,新保　海鈴,Kaili SHIMBO,2002/08/16,レノファ山口ＦＣ,セレッソ大阪Ｕ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,,,,,,,,,,,,,,,,,,
1232,岡本　昌弘,Masahiro OKAMOTO,1983/05/17,愛媛ＦＣ,ジェフユナイテッド千葉,愛媛ＦＣ,ジェフユナイテッド千葉,愛媛ＦＣ,ジェフユナイテッド千葉,ジェフリザーブズ,ジェフユナイテッド千葉,ジェフユナイテッド市原ユース,ジェフユナイテッド市原Ｊｒユース,,,,,,,,,,,,
1233,浦田　延尚,Nobuhisa URATA,1989/09/13,愛媛ＦＣ,松本山雅ＦＣ,愛媛ＦＣ,サガン鳥栖,横浜Ｆ・マリノス,帝京高,ＦＣトリプレッタＪｒユース,ＦＣ戸越,,,,,,,,,,,,,,
1234,西岡　大志,Taishi NISHIOKA,1994/07/28,愛媛ＦＣ,ＦＣ琉球,福岡大,東海大福岡高,宮崎日大中,,,,,,,,,,,,,,,,,
1235,池田　樹雷人,Jurato IKEDA,1996/09/17,愛媛ＦＣ,ＡＣ長野パルセイロ,愛媛ＦＣ,セレッソ大阪,バンコクグラスＦＣ／タイ,セレッソ大阪,三菱養和ＳＣユース,三菱養和ＳＣ巣鴨,久米川小ＦＣ,,,,,,,,,,,,,
1236,前野　貴徳,Takanori MAENO,1988/04/14,愛媛ＦＣ,アルビレックス新潟,鹿島アントラーズ,愛媛ＦＣ,立命館大,愛媛ＦＣユース,愛媛ＦＣＪｒユース,,,,,,,,,,,,,,,
1237,小暮　大器,Daiki KOGURE,1994/05/17,愛媛ＦＣ,セレッソ大阪,徳島ヴォルティス,セレッソ大阪,セレッソ大阪Ｕ-１８,パルチーダＦＣ竜ヶ崎,,,,,,,,,,,,,,,,
1238,横谷　繁,Shigeru YOKOTANI,1987/05/03,愛媛ＦＣ,ヴァンフォーレ甲府,大宮アルディージャ,京都サンガF.C.,ガンバ大阪,京都サンガF.C.,ガンバ大阪,愛媛ＦＣ,ガンバ大阪,愛媛ＦＣ,ガンバ大阪,ガンバ大阪ユース,甲陵中,,,,,,,,,
1239,川村　拓夢,Takumu KAWAMURA,1999/08/28,愛媛ＦＣ,サンフレッチェ広島,愛媛ＦＣ,サンフレッチェ広島,愛媛ＦＣ,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,原ＳＣ,,,,,,,,,,,,,
1240,前田　凌佑,Ryosuke MAEDA,1994/04/27,愛媛ＦＣ,大分トリニータ,ヴィッセル神戸,大分トリニータ,ヴィッセル神戸,大分トリニータ,ヴィッセル神戸,ヴィッセル神戸Ｕ-１８,ヴィッセル神戸Ｊｒユース,安室ＳＣ,,,,,,,,,,,,
1241,藤本　佳希,Yoshiki FUJIMOTO,1994/02/03,愛媛ＦＣ,ファジアーノ岡山,愛媛ＦＣ,ファジアーノ岡山,明治大,済美高,久米中,麻生ＦＣ,,,,,,,,,,,,,,
1242,近藤　貴司,Takashi KONDO,1992/04/26,愛媛ＦＣ,大宮アルディージャ,愛媛ＦＣ,早稲田大,三菱養和ＳＣユース,三菱養和ＳＣ巣鴨Ｊｒユース,,,,,,,,,,,,,,,,
